condition,mechanism,context_source,seed,n_banks,rank,trainable_parameter_count,best_epoch,val_balanced_accuracy,delta_val_balanced_accuracy_vs_what,test_evaluated
what_only,base,none,11,,,0,100,0.5202801827801827,0.0,False
what_only,base,none,23,,,0,66,0.5130050505050506,0.0,False
what_only,base,none,37,,,0,96,0.49065055315055317,0.0,False
what_only,base,none,53,,,0,68,0.4717652717652718,0.0,False
what_only,base,none,71,,,0,61,0.5133357383357383,0.0,False
additive_spike,additive,spike,11,,,768,2,0.5257034632034632,0.005423280423280441,False
additive_spike,additive,spike,23,,,768,19,0.5275252525252526,0.014520202020201989,False
additive_spike,additive,spike,37,,,768,87,0.5096681096681096,0.019017556517556433,False
additive_spike,additive,spike,53,,,768,83,0.5087061087061086,0.036940836940836774,False
additive_spike,additive,spike,71,,,768,3,0.5421055796055796,0.02876984126984128,False
additive_mem,additive,membrane,11,,,768,0,0.5202801827801827,0.0,False
additive_mem,additive,membrane,23,,,768,58,0.5433020683020683,0.030297017797017656,False
additive_mem,additive,membrane,37,,,768,1,0.49191317941317947,0.0012626262626262985,False
additive_mem,additive,membrane,53,,,768,25,0.5222703222703223,0.05050505050505055,False
additive_mem,additive,membrane,71,,,768,7,0.522931697931698,0.009595959595959713,False
bilinear_spike,bilinear,spike,11,,4.0,817,45,0.5488516113516114,0.028571428571428692,False
bilinear_spike,bilinear,spike,23,,4.0,817,45,0.5400252525252526,0.027020202020201944,False
bilinear_spike,bilinear,spike,37,,4.0,817,64,0.530964405964406,0.0403138528138528,False
bilinear_spike,bilinear,spike,53,,4.0,817,100,0.4894300144300143,0.01766474266474255,False
bilinear_spike,bilinear,spike,71,,4.0,817,5,0.5133357383357383,0.0,False
bilinear_mem,bilinear,membrane,11,,4.0,817,48,0.5398869648869649,0.019606782106782128,False
bilinear_mem,bilinear,membrane,23,,4.0,817,74,0.518987493987494,0.005982443482443367,False
bilinear_mem,bilinear,membrane,37,,4.0,817,2,0.49065055315055317,0.0,False
bilinear_mem,bilinear,membrane,53,,4.0,817,30,0.4932299182299182,0.02146464646464641,False
bilinear_mem,bilinear,membrane,71,,4.0,817,3,0.5133357383357383,0.0,False
bank_spike,bank,spike,11,4.0,4.0,2497,74,0.5334415584415584,0.013161375661375652,False
bank_spike,bank,spike,23,4.0,4.0,2497,2,0.5130050505050506,0.0,False
bank_spike,bank,spike,37,4.0,4.0,2497,94,0.5477994227994228,0.05714886964886967,False
bank_spike,bank,spike,53,4.0,4.0,2497,96,0.49267075517075526,0.020905483405483483,False
bank_spike,bank,spike,71,4.0,4.0,2497,40,0.5232563732563732,0.009920634920634885,False
bank_mem,bank,membrane,11,4.0,4.0,2497,5,0.5202801827801827,0.0,False
bank_mem,bank,membrane,23,4.0,4.0,2497,7,0.5130050505050506,0.0,False
bank_mem,bank,membrane,37,4.0,4.0,2497,59,0.4997835497835497,0.009132996632996548,False
bank_mem,bank,membrane,53,4.0,4.0,2497,26,0.4906144781144781,0.018849206349206338,False
bank_mem,bank,membrane,71,4.0,4.0,2497,0,0.5133357383357383,0.0,False
bank_mean_when,bank,membrane_mean,11,4.0,4.0,2497,43,0.52751924001924,0.007239057239057267,False
bank_mean_when,bank,membrane_mean,23,4.0,4.0,2497,0,0.5130050505050506,0.0,False
bank_mean_when,bank,membrane_mean,37,4.0,4.0,2497,15,0.4968374218374219,0.006186868686868741,False
bank_mean_when,bank,membrane_mean,53,4.0,4.0,2497,57,0.5170394420394421,0.0452741702741703,False
bank_mean_when,bank,membrane_mean,71,4.0,4.0,2497,42,0.5590367965367965,0.04570105820105819,False
bank_elapsed,bank,elapsed,11,4.0,4.0,2497,95,0.5681697931697932,0.04788961038961048,False
bank_elapsed,bank,elapsed,23,4.0,4.0,2497,76,0.5959475709475709,0.08294252044252026,False
bank_elapsed,bank,elapsed,37,4.0,4.0,2497,95,0.5511363636363636,0.060485810485810476,False
bank_elapsed,bank,elapsed,53,4.0,4.0,2497,41,0.472396584896585,0.0006313131313132048,False
bank_elapsed,bank,elapsed,71,4.0,4.0,2497,71,0.5504088504088503,0.037073112073112036,False
bank_relphase_oracle,bank,relative_phase_oracle,11,4.0,4.0,2497,76,0.5305976430976431,0.010317460317460392,False
bank_relphase_oracle,bank,relative_phase_oracle,23,4.0,4.0,2497,78,0.5348003848003847,0.02179533429533409,False
bank_relphase_oracle,bank,relative_phase_oracle,37,4.0,4.0,2497,73,0.4921717171717171,0.0015211640211639232,False
bank_relphase_oracle,bank,relative_phase_oracle,53,4.0,4.0,2497,76,0.5190295815295816,0.047264309764309786,False
bank_relphase_oracle,bank,relative_phase_oracle,71,4.0,4.0,2497,78,0.5757154882154881,0.06237974987974981,False
